obsnme,obsnme,obsval,response,response_org,offset
ucn1_00_004_017_010,ucn1_00_004_017_010,2.736790414211812e-06,1.2299516341690466e-06,-1.6040522262687486e-09,1.2315556863953153e-06
ucn1_00_004_018_010,ucn1_00_004_018_010,2.9224126102382627e-06,1.3355958522189203e-06,2.051017761170219e-08,1.315085674607218e-06
ucn1_00_004_019_010,ucn1_00_004_019_010,1.7428263219538361e-06,7.64313008351499e-07,-1.9958836527727295e-08,7.842718448792262e-07
ucn1_00_004_020_010,ucn1_00_004_020_010,2.8068014523371256e-06,1.2801396427267651e-06,1.707898917505873e-08,1.2630606535517064e-06
ucn1_00_004_021_010,ucn1_00_004_021_010,1.9187125238665614e-05,8.625628828979491e-06,-8.577528420033698e-09,8.634206357399525e-06
ucn1_00_004_022_010,ucn1_00_004_022_010,3.555420203697893e-06,1.6908230599171263e-06,9.088396825307476e-08,1.5999390916640515e-06
ucn1_00_005_000_010,ucn1_00_005_000_010,0.0005014468849645827,0.00022564703910250692,-4.059131555295715e-09,0.0002256510982340622
ucn1_00_005_001_010,ucn1_00_005_001_010,1.70185470436383e-06,7.826786433995286e-07,1.6844026435805152e-08,7.658346169637234e-07
ucn1_00_005_002_010,ucn1_00_005_002_010,1.9092402722667733e-06,7.729133878172403e-07,-8.624473470280766e-08,8.591581225200479e-07
ucn1_00_005_003_010,ucn1_00_005_003_010,2.2468904624338147e-06,1.0779894263907165e-06,6.688871829549994e-08,1.0111007080952164e-06
ucn1_00_005_004_010,ucn1_00_005_004_010,2.651397170762345e-06,1.0666226585050342e-06,-1.2650606833802093e-07,1.1931287268430551e-06
ucn1_00_005_005_010,ucn1_00_005_005_010,1.8741470818267727e-06,9.41938355844631e-07,9.857216902258331e-08,8.433661868220477e-07
ucn1_00_005_006_010,ucn1_00_005_006_010,1.4345111046715525e-06,6.480477542954871e-07,2.517757193288586e-09,6.455299971021985e-07
ucn1_00_005_007_010,ucn1_00_005_007_010,1.380914899990924e-06,6.553843114836784e-07,3.397260648776256e-08,6.214117049959158e-07
ucn1_00_005_008_010,ucn1_00_005_008_010,1.8353211527718587e-06,8.284329307413825e-07,2.538411994046211e-09,8.258945187473363e-07
ucn1_00_005_009_010,ucn1_00_005_009_010,1.8406041410604626e-06,8.28493695555367e-07,2.2183207815891295e-10,8.282718634772081e-07
ucn1_00_005_010_010,ucn1_00_005_010_010,1.3839970770939528e-06,6.207820737381406e-07,-2.0166109541380653e-09,6.227986846922787e-07
ucn1_00_005_011_010,ucn1_00_005_011_010,7.315741267157163e-06,3.31041149878404e-06,1.8327928563317128e-08,3.292083570220723e-06
ucn1_00_005_012_010,ucn1_00_005_012_010,3.751979405139393e-06,1.5771464691368035e-06,-1.1124426317592317e-07,1.6883907323127265e-06
ucn1_00_005_013_010,ucn1_00_005_013_010,1.7053436087681126e-06,7.684859647179609e-07,1.0813407723103711e-09,7.674046239456505e-07
ucn1_00_005_014_010,ucn1_00_005_014_010,1.952027144004519e-06,9.06879756037488e-07,2.8467541235454658e-08,8.784122148020333e-07
ucn1_00_005_015_010,ucn1_00_005_015_010,2.9168880776754917e-06,1.3726286403184928e-06,6.002900536452155e-08,1.3125996349539712e-06
ucn1_00_005_016_010,ucn1_00_005_016_010,1.0037530056986445e-06,4.4807739212773213e-07,-3.6114604366578935e-09,4.5168885256439e-07
ucn1_00_005_017_010,ucn1_00_005_017_010,1.2483193748634882e-06,5.583119513287886e-07,-3.4317673597810278e-09,5.617437186885696e-07
ucn1_00_005_018_010,ucn1_00_005_018_010,2.673166893648601e-06,1.2625852951985184e-06,5.966019305664813e-08,1.2029251021418703e-06
ucn1_00_005_019_010,ucn1_00_005_019_010,2.8308793015238954e-06,1.276243792668669e-06,2.348106982915985e-09,1.273895685685753e-06
ucn1_00_005_020_010,ucn1_00_005_020_010,2.0258461219358944e-06,9.130578690901144e-07,1.427114218962036e-09,9.116307548711524e-07
ucn1_00_005_021_010,ucn1_00_005_021_010,6.014399048082343e-06,2.7218757061794e-06,1.5396134542346306e-08,2.706479571637054e-06
ucn1_00_005_022_010,ucn1_00_005_022_010,2.5385478597156336e-06,1.1117642653739855e-06,-3.058227149804943e-08,1.142346536872035e-06
ucn1_00_005_023_010,ucn1_00_005_023_010,2.881945802962416e-06,1.2971129496867581e-06,2.37338353671082e-10,1.296875611333087e-06
ucn1_00_006_000_010,ucn1_00_006_000_010,0.0005004682869588818,0.0002251585032707211,-5.2225860775700904e-08,0.0002252107291314968
ucn1_00_006_001_010,ucn1_00_006_001_010,2.5073458998782443e-06,1.1254965037720868e-06,-2.809151173123091e-09,1.1283056549452098e-06
ucn1_00_006_002_010,ucn1_00_006_002_010,2.232508672938493e-06,1.0409010886691492e-06,3.62721858468275e-08,1.0046289028223217e-06
ucn1_00_006_003_010,ucn1_00_006_003_010,2.4589828391783167e-06,1.144894591464074e-06,3.8352313833831656e-08,1.1065422776302423e-06
ucn1_00_006_004_010,ucn1_00_006_004_010,1.9320470846270716e-06,8.946985222809538e-07,2.5277334198771593e-08,8.694211880821822e-07
ucn1_00_006_005_010,ucn1_00_006_005_010,1.755561754498784e-06,8.265340051992271e-07,3.653121567477433e-08,7.900027895244527e-07
ucn1_00_006_006_010,ucn1_00_006_006_010,2.316110890800216e-06,1.040473965012491e-06,-1.7759358476060641e-09,1.042249900860097e-06
ucn1_00_006_007_010,ucn1_00_006_007_010,4.95125931726999e-06,2.163237188833306e-06,-6.4829503938189e-08,2.228066692771495e-06
ucn1_00_006_008_010,ucn1_00_006_008_010,1.3518572285527432e-06,6.080126275312141e-07,-3.2312531752034686e-10,6.083357528487344e-07
