obsnme,obsval
ucn1_00_011_019_010,0.0010480386498962324
ucn1_00_011_020_010,0.002546019489963721
ucn1_00_011_021_010,0.003761553331666159
ucn1_00_011_022_010,0.004322310489509967
ucn1_00_011_023_010,0.0030404078934367636
ucn1_00_011_024_010,0.001982191462341088
ucn1_00_011_025_010,0.0007174596539415917
ucn1_00_011_026_010,0.0022590986128082895
ucn1_00_011_027_010,0.0019169513341102096
ucn1_00_011_028_010,8.524365278723483e-05
ucn1_00_012_000_010,0.0001459737738058075
ucn1_00_012_002_010,9.043140940339218e-05
ucn1_00_012_003_010,0.0004932327749419039
ucn1_00_012_004_010,0.0004996956709886056
ucn1_00_012_005_010,3.835028540427606e-05
ucn1_00_012_006_010,3.611909862470316e-05
ucn1_00_012_007_010,3.190113256505882e-05
ucn1_00_012_008_010,1.5785431511317657e-05
ucn1_00_012_009_010,1.6604742511041335e-05
ucn1_00_012_010_010,2.9038252426654973e-05
ucn1_00_012_011_010,8.413147162252672e-06
ucn1_00_012_012_010,1.2906416585865137e-05
ucn1_00_012_013_010,3.835777513913172e-06
ucn1_00_012_014_010,2.7983532660305227e-05
ucn1_00_012_015_010,1.7628605717931553e-05
ucn1_00_012_016_010,1.2619673943993964e-06
ucn1_00_012_017_010,0.010275624506084623
ucn1_00_012_018_010,0.003223533558625568
ucn1_00_012_019_010,0.0013876195171017907
ucn1_00_012_020_010,0.0031219259424639023
ucn1_00_012_021_010,0.004105095396605136
ucn1_00_012_022_010,0.003525634946985882
ucn1_00_012_023_010,0.0028916427946796244
ucn1_00_012_024_010,0.0018125242141554137
ucn1_00_012_025_010,0.0006989934224723387
ucn1_00_012_026_010,0.00321985012181856
ucn1_00_012_027_010,0.005359370056423144
ucn1_00_012_028_010,0.006171479390231913
ucn1_00_012_029_010,0.0002488453458282587
ucn1_00_013_000_010,0.00031039008212625953
ucn1_00_013_001_010,0.00017445364792904983
ucn1_00_013_002_010,0.0001969505456398534
ucn1_00_013_003_010,0.00027703556763316624
ucn1_00_013_004_010,0.0004620313706748557
ucn1_00_013_005_010,8.62019246467202e-05
ucn1_00_013_006_010,0.00010462003139302583
ucn1_00_013_007_010,0.00010235010575003166
ucn1_00_013_008_010,1.2852791049537836e-05
ucn1_00_013_009_010,6.3610160636821e-05
ucn1_00_013_010_010,0.00010366513339200567
ucn1_00_013_011_010,0.00014146490024743744
ucn1_00_013_012_010,0.00014929357311401672
ucn1_00_013_013_010,4.187279064247896e-05
ucn1_00_013_014_010,2.2333303584915116e-07
ucn1_00_013_015_010,0.0018335749600070378
ucn1_00_013_016_010,0.0036922344474378875
ucn1_00_013_017_010,0.003486416440680454
ucn1_00_013_018_010,0.001085173759288284
ucn1_00_013_019_010,0.0013336757846236294
ucn1_00_013_020_010,0.0037495677849747177
ucn1_00_013_021_010,0.004689856845985966
ucn1_00_013_022_010,0.003995488400612297
ucn1_00_013_023_010,0.003907079888483646
ucn1_00_013_024_010,0.0029505438534836
ucn1_00_013_025_010,0.0006256427081863574
ucn1_00_013_026_010,0.004642129010354905
ucn1_00_013_027_010,0.0027234870627163275
ucn1_00_013_028_010,0.002437286181808231
ucn1_00_013_029_010,0.00021884069144659536
ucn1_00_014_000_010,0.00011226352591152075
ucn1_00_014_001_010,0.0002213037682151982
ucn1_00_014_002_010,0.00018387521985668658
ucn1_00_014_003_010,0.00013209605437435756
ucn1_00_014_004_010,0.00029476447151600434
ucn1_00_014_005_010,4.165001251608521e-05
ucn1_00_014_006_010,4.366929783153842e-06
ucn1_00_014_007_010,3.193618148989078e-07
ucn1_00_014_008_010,0.00017853446046317125
ucn1_00_014_009_010,4.542771204381631e-06
ucn1_00_014_010_010,5.942714663729472e-07
ucn1_00_014_011_010,0.003369901291608809
ucn1_00_014_012_010,0.0032273748051991
ucn1_00_014_013_010,4.709059562953489e-05
ucn1_00_014_014_010,0.0008169052859949592
ucn1_00_014_015_010,0.002323395392004524
ucn1_00_014_016_010,0.003946218099022946
ucn1_00_014_017_010,0.00405559291892946
ucn1_00_014_018_010,0.0009418348228576276
ucn1_00_014_019_010,0.002193080333574126
ucn1_00_014_020_010,0.003624940911923099
ucn1_00_014_021_010,0.004144336924207689
ucn1_00_014_022_010,0.0044012462909763985
ucn1_00_014_023_010,0.004206828714600968
ucn1_00_014_024_010,0.0036682009236447583
ucn1_00_014_025_010,0.002339229114924576
ucn1_00_014_026_010,0.0013922139389778577
ucn1_00_014_027_010,0.0042989596563197
ucn1_00_014_028_010,0.0036532791170579447
ucn1_00_014_029_010,0.0026780024951278823
ucn1_00_014_030_010,0.0001008913193072658
ucn1_00_015_001_010,0.00013328002889272854
ucn1_00_015_002_010,0.00022104246154319495
ucn1_00_015_003_010,0.00024399555666118042
ucn1_00_015_004_010,8.081754118274942e-05
ucn1_00_015_005_010,3.755813535297709e-05
ucn1_00_015_006_010,1.4202034008272442e-05
ucn1_00_015_007_010,1.3177662482228125e-06
ucn1_00_015_008_010,3.785872258963956e-05
ucn1_00_015_009_010,0.0028846852351281094
ucn1_00_015_010_010,0.0013177802014450678
ucn1_00_015_011_010,0.0037688959086183416
ucn1_00_015_012_010,0.003962226001814388
ucn1_00_015_013_010,0.002856364701043244
ucn1_00_015_014_010,0.004313142293402352
ucn1_00_015_015_010,0.004131984529362398
ucn1_00_015_016_010,0.0037777166135679286
ucn1_00_015_017_010,0.004878070556179744
ucn1_00_015_018_010,0.00445360196878036
ucn1_00_015_019_010,0.0006620101524363902
ucn1_00_015_020_010,0.003943367577456724
ucn1_00_015_021_010,0.0037349140775536247
ucn1_00_015_022_010,0.005063427044563829
ucn1_00_015_023_010,0.004707985686119741
ucn1_00_015_024_010,0.003808619434619896
ucn1_00_015_025_010,0.0020472117998021474
ucn1_00_015_026_010,0.0013074600908886047
ucn1_00_015_027_010,0.0034931978902340167
ucn1_00_015_028_010,0.0036367172309222703
ucn1_00_015_029_010,0.0020044627696517527
ucn1_00_015_030_010,0.0022705221580465603
ucn1_00_015_031_010,0.00025524299354448657
ucn1_00_016_002_010,0.00018733121069915512
ucn1_00_016_003_010,0.00022805603386969096
ucn1_00_016_006_010,3.1842804555274085e-07
ucn1_00_016_007_010,1.384318966424245e-08
ucn1_00_016_008_010,0.004117674928427385
ucn1_00_016_009_010,0.004605825586890141
ucn1_00_016_010_010,0.00287532257093621
ucn1_00_016_011_010,0.003717050248816996
ucn1_00_016_012_010,0.004366369714308403
ucn1_00_016_013_010,0.0036915717490698394
ucn1_00_016_014_010,0.0047148690415207
ucn1_00_016_015_010,0.005056718729290635
ucn1_00_016_016_010,0.004060964939910551
ucn1_00_016_017_010,0.0039078741553404866
ucn1_00_016_018_010,0.0016484451516804383
ucn1_00_016_019_010,0.00105024062556523
ucn1_00_016_020_010,0.004707132309003352
ucn1_00_016_021_010,0.004774210630618291
ucn1_00_016_022_010,0.004542465369438564
ucn1_00_016_023_010,0.00420930231542276
ucn1_00_016_024_010,0.0031118326183509955
ucn1_00_016_025_010,0.001299091695261918
ucn1_00_016_026_010,0.0005037470151945518
ucn1_00_016_027_010,0.0006039147801016436
ucn1_00_016_028_010,0.0006173861986084586
ucn1_00_016_029_010,0.0011756407832814461
ucn1_00_016_030_010,0.002764937771331287
ucn1_00_016_031_010,0.0021783026286809003
ucn1_00_016_032_010,6.646789666063247e-05
ucn1_00_016_033_010,4.8290603490645796e-05
ucn1_00_017_006_010,4.619689507736674e-08
ucn1_00_017_007_010,0.00496683422202698
ucn1_00_017_008_010,0.004489697353001908
ucn1_00_017_009_010,0.0035959428104291907
ucn1_00_017_010_010,0.0037528294036424945
ucn1_00_017_011_010,0.0038500303593247674
ucn1_00_017_012_010,0.0047264489288833126
ucn1_00_017_013_010,0.004365840600856103
ucn1_00_017_014_010,0.004983598194206315
ucn1_00_017_015_010,0.004895511178128785
ucn1_00_017_016_010,0.00483332182771157
ucn1_00_017_017_010,0.004032684726671444
ucn1_00_017_018_010,0.003532274075404794
ucn1_00_017_019_010,0.0007912011114041757
ucn1_00_017_020_010,0.0010962143954992565
ucn1_00_017_021_010,0.004875135466011036
ucn1_00_017_022_010,0.0039169396907180725
ucn1_00_017_023_010,0.004064451136247818
ucn1_00_017_024_010,0.0037131763068204092
ucn1_00_017_025_010,0.0031143655312958177
ucn1_00_017_026_010,0.00341823515713958
ucn1_00_017_027_010,0.00476690571465967
ucn1_00_017_028_010,0.0034065292546627012
ucn1_00_017_029_010,0.000487713588400343
ucn1_00_017_030_010,0.0009882330473982564
ucn1_00_017_031_010,0.0025417623475058057
ucn1_00_017_032_010,2.870416562190509e-05
ucn1_00_018_006_010,0.0012645102465782348
ucn1_00_018_008_010,0.004623678129725937
ucn1_00_018_009_010,0.003860045985595917
ucn1_00_018_010_010,0.004479699316558341
ucn1_00_018_011_010,0.003626279647872498
ucn1_00_018_012_010,0.0037980625139507496
ucn1_00_018_013_010,0.0039091021733288715
ucn1_00_018_014_010,0.006056588102370117
ucn1_00_018_015_010,0.004941147697111527
ucn1_00_018_016_010,0.00386742254325867
ucn1_00_018_017_010,0.003898226825113047
ucn1_00_018_018_010,0.004857333023325663
ucn1_00_018_019_010,0.001390347754817174
ucn1_00_018_020_010,0.0011512583179544734
ucn1_00_018_021_010,0.004164006967383221
ucn1_00_018_022_010,0.0037233354216048876
ucn1_00_018_023_010,0.00394373340558141
ucn1_00_018_024_010,0.004662418337346862
ucn1_00_018_025_010,0.003957466122246195
ucn1_00_018_026_010,0.00387292416963053
